link,data,casos_suspeitos,casos_confirmados,obitos,obitos_em_investigacao
https://covid19.pjf.mg.gov.br/arquivos/boletim_210521.pdf,2021-05-21,84070,32730,1586,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_240521.pdf,2021-05-24,84435,32907,1594,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_250521.pdf,2021-05-25,84831,33154,1604,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_260521.pdf,2021-05-26,85195,33349,1612,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_270521.pdf,2021-05-27,85525,33548,1615,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_280521.pdf,2021-05-28,85933,33787,1628,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_310521.pdf,2021-05-31,86375,34015,1638,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_010621.pdf,2021-06-01,86708,34226,1652,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_020621.pdf,2021-06-02,87096,34296,1657,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_070621.pdf,2021-06-07,87888,34501,1674,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_080621.pdf,2021-06-08,88299,34813,1680,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_090621.pdf,2021-06-09,88715,35011,1685,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_100621.pdf,2021-06-10,88912,35156,1689,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_110621.pdf,2021-06-11,89329,35303,1693,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_140621.pdf,2021-06-14,89660,35466,1705,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_150621.pdf,2021-06-15,90014,35686,1710,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_160621.pdf,2021-06-16,90208,35872,1715,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_170621.pdf,2021-06-17,90405,35985,1718,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_180621.pdf,2021-06-18,90676,36238,1725,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_210621.pdf,2021-06-21,91035,36392,1732,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_220621.pdf,2021-06-22,91268,36610,1740,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_230621.pdf,2021-06-23,91501,36724,1743,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_240621.pdf,2021-06-24,91718,36906,1747,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_250621.pdf,2021-06-25,91996,37103,1755,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_280621.pdf,2021-06-28,92311,37316,1766,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_290621.pdf,2021-06-29,92624,37612,1769,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_300621.pdf,2021-06-30,92837,37802,1777,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_010721.pdf,2021-07-01,92998,37941,1780,0
https://covid19.pjf.mg.gov.br/arquivos/boletim_020721.pdf,2021-07-02,93161,38055,1786,0
